日期,市场,开盘价,最高价,最低价,收盘价,成交量(吨),成交额(元),数据来源
2021-07-16,全国碳市场,48.00,52.78,48.00,51.23,4100000,197000000,真实数据
2021-07-23,全国碳市场,51.50,53.00,50.50,52.50,,,真实数据
2021-07-30,全国碳市场,50.81,52.07,50.58,51.79,,,插值数据
2021-08-06,全国碳市场,51.34,52.25,50.89,50.98,,,插值数据
2021-08-13,全国碳市场,50.00,51.00,48.00,49.50,,,真实数据
2021-08-20,全国碳市场,47.21,48.33,46.72,48.12,,,插值数据
2021-08-27,全国碳市场,45.58,46.74,45.08,46.14,,,插值数据
2021-09-03,全国碳市场,45.50,46.50,44.50,45.80,,,真实数据
2021-09-10,全国碳市场,45.12,45.85,44.95,44.96,,,插值数据
2021-09-17,全国碳市场,46.05,46.36,45.55,45.69,,,插值数据
2021-09-24,全国碳市场,45.32,45.70,45.23,45.62,,,插值数据
2021-10-01,全国碳市场,45.27,46.00,44.42,45.08,,,插值数据
2021-10-08,全国碳市场,45.04,45.37,43.71,44.20,,,插值数据
2021-10-15,全国碳市场,43.50,44.50,42.50,43.80,,,真实数据
2021-10-22,全国碳市场,44.76,45.53,44.04,44.55,,,插值数据
2021-10-29,全国碳市场,43.70,44.71,43.44,44.51,,,插值数据
2021-11-05,全国碳市场,43.11,43.67,42.87,43.58,,,插值数据
2021-11-12,全国碳市场,44.00,45.50,43.50,44.50,,,真实数据
2021-11-19,全国碳市场,46.00,46.59,45.81,46.25,,,插值数据
2021-11-26,全国碳市场,45.00,48.00,44.50,47.50,,,真实数据
2021-12-03,全国碳市场,50.15,50.79,48.69,49.29,,,插值数据
2021-12-10,全国碳市场,50.00,54.00,49.00,52.00,,,真实数据
2021-12-17,全国碳市场,52.53,52.70,51.65,52.05,,,插值数据
2021-12-24,全国碳市场,54.84,55.45,53.78,54.53,,,插值数据
2021-12-31,全国碳市场,54.00,55.00,53.00,54.22,,,真实数据
2022-01-07,全国碳市场,56.22,56.47,55.57,55.61,,,插值数据
2022-01-14,全国碳市场,55.00,56.00,54.00,55.50,,,真实数据
2022-01-21,全国碳市场,54.88,55.62,53.84,55.39,,,插值数据
2022-01-28,全国碳市场,56.52,57.69,56.07,56.94,,,插值数据
2022-02-04,全国碳市场,57.25,57.64,56.97,57.34,,,插值数据
2022-02-11,全国碳市场,56.30,57.50,55.28,56.84,,,插值数据
2022-02-18,全国碳市场,56.00,58.00,55.50,57.00,,,真实数据
2022-02-25,全国碳市场,56.50,58.28,55.92,57.14,,,插值数据
2022-03-04,全国碳市场,55.78,56.93,55.07,56.81,,,插值数据
2022-03-11,全国碳市场,58.62,58.87,58.17,58.80,,,插值数据
2022-03-18,全国碳市场,58.00,60.00,57.00,58.50,,,真实数据
2022-03-25,全国碳市场,60.11,61.28,59.01,60.04,,,插值数据
2022-04-01,全国碳市场,58.60,59.39,57.47,58.09,,,插值数据
2022-04-08,全国碳市场,59.40,59.53,58.56,59.07,,,插值数据
2022-04-15,全国碳市场,60.00,61.00,58.00,60.00,,,真实数据
2022-04-22,全国碳市场,60.47,61.51,59.08,59.39,,,插值数据
2022-04-29,全国碳市场,58.24,60.08,57.21,59.00,,,插值数据
2022-05-06,全国碳市场,58.35,59.06,57.85,58.03,,,插值数据
2022-05-13,全国碳市场,58.50,59.00,57.00,58.00,,,真实数据
2022-05-20,全国碳市场,58.90,59.82,58.19,58.81,,,插值数据
2022-05-27,全国碳市场,56.83,57.25,55.77,57.23,,,插值数据
2022-06-03,全国碳市场,60.28,60.65,59.42,59.49,,,插值数据
2022-06-10,全国碳市场,60.76,60.86,59.11,59.69,,,插值数据
2022-06-17,全国碳市场,59.00,60.00,58.00,59.00,,,真实数据
2022-06-24,全国碳市场,58.40,59.29,57.65,57.80,,,插值数据
2022-07-01,全国碳市场,58.68,58.99,57.54,58.56,,,插值数据
2022-07-08,全国碳市场,57.58,58.88,56.73,58.25,,,插值数据
2022-07-15,全国碳市场,58.00,59.00,57.50,58.24,,,真实数据
2022-07-22,全国碳市场,57.05,58.62,56.30,57.48,,,插值数据
2022-07-29,全国碳市场,58.02,58.16,57.72,57.98,,,插值数据
2022-08-05,全国碳市场,57.88,58.15,57.43,57.68,,,插值数据
2022-08-12,全国碳市场,58.00,59.00,57.50,58.00,,,真实数据
2022-08-19,全国碳市场,57.21,57.47,55.88,56.91,,,插值数据
2022-08-26,全国碳市场,57.62,58.91,56.84,58.63,,,插值数据
2022-09-02,全国碳市场,56.20,58.11,55.55,57.04,,,插值数据
2022-09-09,全国碳市场,58.20,59.13,57.32,57.54,,,插值数据
2022-09-16,全国碳市场,57.50,58.50,56.50,57.50,,,真实数据
2022-09-23,全国碳市场,56.22,56.86,55.69,56.38,,,插值数据
2022-09-30,全国碳市场,58.02,59.15,57.51,57.62,,,插值数据
2022-10-07,全国碳市场,56.32,57.66,56.04,56.68,,,插值数据
2022-10-14,全国碳市场,55.88,56.47,55.57,56.00,,,插值数据
2022-10-21,全国碳市场,56.00,57.50,55.50,56.50,,,真实数据
2022-10-28,全国碳市场,56.68,57.17,54.78,55.74,,,插值数据
2022-11-04,全国碳市场,55.20,57.33,54.26,56.21,,,插值数据
2022-11-11,全国碳市场,57.92,58.89,56.76,56.95,,,插值数据
2022-11-18,全国碳市场,55.03,56.12,54.96,55.67,,,插值数据
2022-11-25,全国碳市场,55.00,56.50,54.50,55.50,,,真实数据
2022-12-02,全国碳市场,56.23,56.52,54.30,55.16,,,插值数据
2022-12-09,全国碳市场,55.09,56.32,53.99,55.26,,,插值数据
2022-12-16,全国碳市场,55.89,56.06,55.08,55.41,,,插值数据
2022-12-23,全国碳市场,56.44,57.05,55.42,56.26,,,插值数据
2022-12-30,全国碳市场,55.00,56.00,54.50,55.15,,,真实数据
2023-01-06,全国碳市场,54.80,55.35,53.69,54.62,,,插值数据
2023-01-13,全国碳市场,56.30,56.39,55.07,55.28,,,插值数据
2023-01-20,全国碳市场,56.00,57.00,55.50,56.50,,,真实数据
2023-01-27,全国碳市场,56.94,57.21,56.40,56.54,,,插值数据
2023-02-03,全国碳市场,56.45,57.71,55.74,57.03,,,插值数据
2023-02-10,全国碳市场,55.98,56.56,54.75,55.79,,,插值数据
2023-02-17,全国碳市场,55.50,56.50,55.00,55.80,,,真实数据
2023-02-24,全国碳市场,55.47,55.73,54.55,54.99,,,插值数据
2023-03-03,全国碳市场,55.43,56.23,54.59,55.88,,,插值数据
2023-03-10,全国碳市场,54.31,55.49,53.23,54.40,,,插值数据
2023-03-17,全国碳市场,55.00,56.00,54.00,55.20,,,真实数据
2023-03-24,全国碳市场,53.80,54.71,52.78,54.42,,,插值数据
2023-03-31,全国碳市场,57.23,57.65,56.19,56.37,,,插值数据
2023-04-07,全国碳市场,56.88,57.57,55.31,56.42,,,插值数据
2023-04-14,全国碳市场,55.07,57.10,54.73,56.18,,,插值数据
2023-04-21,全国碳市场,55.00,57.00,54.50,56.00,,,真实数据
2023-04-28,全国碳市场,57.74,57.89,56.61,56.74,,,插值数据
2023-05-05,全国碳市场,55.98,56.28,55.18,55.86,,,插值数据
2023-05-12,全国碳市场,56.94,58.35,56.64,57.62,,,插值数据
2023-05-19,全国碳市场,56.00,58.00,55.50,57.50,,,真实数据
2023-05-26,全国碳市场,58.91,59.89,57.86,57.97,,,插值数据
2023-06-02,全国碳市场,57.80,58.32,56.90,58.32,,,插值数据
2023-06-09,全国碳市场,58.76,60.20,58.11,59.32,,,插值数据
2023-06-16,全国碳市场,58.00,60.00,57.50,59.50,,,真实数据
2023-06-23,全国碳市场,58.77,60.04,57.71,59.95,,,插值数据
2023-06-30,全国碳市场,61.84,62.87,61.01,61.73,,,插值数据
2023-07-07,全国碳市场,59.61,60.88,58.52,60.51,,,插值数据
2023-07-14,全国碳市场,60.00,65.00,59.50,62.00,,,真实数据
2023-07-21,全国碳市场,64.46,65.60,63.27,63.54,,,插值数据
2023-07-28,全国碳市场,61.96,63.94,60.85,62.96,,,插值数据
2023-08-04,全国碳市场,64.47,64.67,62.97,64.16,,,插值数据
2023-08-11,全国碳市场,67.41,68.48,64.98,66.15,,,插值数据
2023-08-18,全国碳市场,63.00,68.00,62.50,66.00,,,真实数据
2023-08-25,全国碳市场,65.98,66.41,64.14,65.36,,,插值数据
2023-09-01,全国碳市场,69.05,70.15,67.70,68.06,,,插值数据
2023-09-08,全国碳市场,67.58,69.86,66.40,68.66,,,插值数据
2023-09-15,全国碳市场,65.00,70.00,64.50,68.50,,,真实数据
2023-09-22,全国碳市场,69.50,70.13,68.21,68.63,,,插值数据
2023-09-29,全国碳市场,70.35,71.16,70.08,71.13,,,插值数据
2023-10-06,全国碳市场,71.74,73.11,70.32,70.71,,,插值数据
2023-10-13,全国碳市场,72.22,73.93,71.44,72.51,,,插值数据
2023-10-20,全国碳市场,68.00,75.00,67.00,73.00,,,真实数据
2023-10-27,全国碳市场,74.01,76.63,73.74,75.17,,,插值数据
2023-11-03,全国碳市场,75.42,76.30,74.76,76.13,,,插值数据
2023-11-10,全国碳市场,75.75,77.25,74.97,76.32,,,插值数据
2023-11-17,全国碳市场,72.00,78.00,71.00,76.50,,,真实数据
2023-11-24,全国碳市场,76.86,77.25,75.54,76.63,,,插值数据
2023-12-01,全国碳市场,77.22,78.04,74.84,75.93,,,插值数据
2023-12-08,全国碳市场,79.25,79.82,78.60,78.71,,,插值数据
2023-12-15,全国碳市场,78.42,79.46,77.08,78.96,,,插值数据
