车辆类型,燃料类型,CO2排放因子(kg/km),油耗(L/100km),年均里程参考(km),数据来源
重型柴油货车,柴油,0.877,33.0,80000,中国环境科学2021(蔡博峰等)
重型柴油货车(>31t),柴油,0.858,,80000,GB 30510-2024(第四阶段)
重型柴油货车(25-31t),柴油,0.835,,80000,GB 30510-2024(第四阶段)
重型柴油半挂牵引车(>49t),柴油,0.905,,80000,GB 30510-2024(第四阶段)
重型柴油货车(>31t旧标),柴油,0.884,,80000,GB 30510-2018(第三阶段)
中型柴油货车,柴油,0.508,19.0,50000,中国环境科学2021(蔡博峰等)
中型柴油货车(12-16t),柴油,0.536,,50000,GB 30510-2024(第四阶段)
中型柴油货车(12-16t旧标),柴油,0.554,,50000,GB 30510-2018(第三阶段)
轻型柴油货车,柴油,0.374,12.0,30000,中国环境科学2021(蔡博峰等)
轻型柴油货车(3.5-4.5t),柴油,0.257,,30000,GB 30510-2024(第四阶段)
微型汽油货车,汽油,0.216,8.0,20000,中国环境科学2021(蔡博峰等)
微型汽油货车(3.5-4.5t),汽油,0.282,,20000,GB 30510-2024(第四阶段)
LNG重型货车,LNG,0.72,,80000,国家发改委指南(估算值LNG比柴油低约18%)
LNG重型货车(实测高值),LNG,0.94,,80000,LNG重卡燃料消耗与排放数据(实测)
LNG重型货车(实测低值),LNG,1.2,,80000,LNG重卡燃料消耗与排放数据(实测)
新能源物流车,电动,0.0,,40000,直接排放为零(全生命周期排放另计)
纯电动重卡(全生命周期),电动,0.805,,40000,新能源重卡降碳真相分析(全生命周期)
纯电动重卡(河北电网),电动,1.088,,40000,新能源重卡降碳真相分析(河北电网)
